"","FIPS","year","Freq"
"1119",45063,2006,33
"1120",45063,2007,42
"1121",45063,2008,37
"1122",45063,2009,30
"1123",45063,2010,37
"1124",45063,2011,37
"1125",45063,2012,25
"1126",45063,2013,33
"1127",45063,2014,36
"1128",45063,2015,28
"1129",45063,2016,36
"1130",45063,2017,49
"1131",45063,2018,33
"1132",45063,2019,29
"1133",45063,2020,37
"1155",45065,2005,9
"1156",45065,2006,5
"1157",45065,2007,8
"1158",45065,2008,8
"1159",45065,2009,10
"1160",45065,2010,7
"1161",45065,2011,10
"1162",45065,2012,3
"1163",45065,2013,1
"1164",45065,2014,2
"1165",45065,2015,1
"1166",45065,2016,5
"1167",45065,2017,6
"1168",45065,2018,7
"1169",45065,2019,7
"1170",45065,2020,4
"1190",45067,2005,5
"1191",45067,2006,5
"1192",45067,2007,5
"1193",45067,2008,1
"1194",45067,2009,5
"1195",45067,2010,5
"1196",45067,2011,7
"1197",45067,2012,7
"1198",45067,2013,3
"1199",45067,2014,2
"1200",45067,2015,5
"1201",45067,2016,7
"1202",45067,2017,5
"1203",45067,2018,2
"1204",45067,2019,7
"1205",45067,2020,4
"1221",45069,2005,1
"1222",45069,2006,3
"1223",45069,2008,2
"1224",45069,2010,1
"1225",45069,2011,1
"1226",45069,2012,1
"1227",45069,2013,2
"1228",45069,2016,2
"1229",45069,2017,2
"1230",45069,2019,1
"1231",45069,2020,2
"1252",45071,2005,2
"1253",45071,2006,10
"1254",45071,2007,8
"1255",45071,2008,2
"1256",45071,2009,7
"1257",45071,2010,3
"1258",45071,2011,1
"1259",45071,2012,3
"1260",45071,2013,7
"1261",45071,2014,6
"1262",45071,2015,4
"1263",45071,2016,1
"1264",45071,2017,3
"1265",45071,2018,5
"1266",45071,2019,9
"1267",45071,2020,3
"1285",45073,2005,5
"1286",45073,2006,3
"1287",45073,2007,3
"1288",45073,2008,5
"1289",45073,2009,1
"1290",45073,2010,3
"1291",45073,2011,1
"1292",45073,2012,3
"1293",45073,2013,1
"1294",45073,2014,8
"1295",45073,2015,9
"1296",45073,2016,7
"1297",45073,2017,6
"1298",45073,2018,8
"1299",45073,2019,8
"1300",45073,2020,8
"1323",45075,2005,23
"1324",45075,2006,41
"1325",45075,2007,20
"1326",45075,2008,27
"1327",45075,2009,20
"1328",45075,2010,36
"1329",45075,2011,32
"1330",45075,2012,28
"1331",45075,2013,26
"1332",45075,2014,25
"1333",45075,2015,11
"1334",45075,2016,22
"1335",45075,2017,30
"1336",45075,2018,32
"1337",45075,2019,26
"1338",45075,2020,24
"1358",45077,2005,6
"1359",45077,2006,11
"1360",45077,2007,6
"1361",45077,2008,8
"1362",45077,2009,7
"1363",45077,2010,5
"1364",45077,2011,5
"1365",45077,2012,10
"1366",45077,2013,11
"1367",45077,2014,4
"1368",45077,2015,3
"1369",45077,2016,9
"1370",45077,2017,5
"1371",45077,2018,17
"1372",45077,2019,15
"1373",45077,2020,7
"1398",45079,2005,141
"1399",45079,2006,128
"1400",45079,2007,136
"1401",45079,2008,137
"1402",45079,2009,146
"1403",45079,2010,136
"1404",45079,2011,123
"1405",45079,2012,137
"1406",45079,2013,115
"1407",45079,2014,130
"1408",45079,2015,123
"1409",45079,2016,123
"1410",45079,2017,121
"1411",45079,2018,105
"1412",45079,2019,115
"1413",45079,2020,115
"1434",45081,2005,2
"1435",45081,2006,3
"1436",45081,2007,2
"1437",45081,2008,2
"1438",45081,2009,1
"1439",45081,2010,1
"1440",45081,2012,2
"1441",45081,2013,2
"1442",45081,2014,4
"1443",45081,2016,2
"1444",45081,2017,1
"1445",45081,2018,5
"1446",45081,2020,3
"1468",45083,2005,34
"1469",45083,2006,39
"1470",45083,2007,34
"1471",45083,2008,40
"1472",45083,2009,29
"1473",45083,2010,37
"1474",45083,2011,34
"1475",45083,2012,32
"1476",45083,2013,41
"1477",45083,2014,34
"1478",45083,2015,16
"1479",45083,2016,42
"1480",45083,2017,25
"1481",45083,2018,36
"1482",45083,2019,32
"1483",45083,2020,35
"1505",45085,2005,28
"1506",45085,2006,37
"1507",45085,2007,31
"1508",45085,2008,32
"1509",45085,2009,41
"1510",45085,2010,33
"1511",45085,2011,33
"1512",45085,2012,27
"1513",45085,2013,20
"1514",45085,2014,32
"1515",45085,2015,23
"1516",45085,2016,18
"1517",45085,2017,23
"1518",45085,2018,28
"1519",45085,2019,24
"1520",45085,2020,21
"1538",45087,2005,6
"1539",45087,2006,3
"1540",45087,2007,8
"1541",45087,2008,2
"1542",45087,2009,4
"1543",45087,2010,2
"1544",45087,2011,5
"1545",45087,2012,2
"1546",45087,2013,4
"1547",45087,2014,3
"1548",45087,2015,5
"1549",45087,2016,3
"1550",45087,2017,3
"1551",45087,2018,8
"1552",45087,2019,3
"1553",45087,2020,2
"1574",45089,2005,14
"1575",45089,2006,12
"1576",45089,2007,9
"1577",45089,2008,13
"1578",45089,2009,10
"1579",45089,2010,16
"1580",45089,2011,8
"1581",45089,2012,7
"1582",45089,2013,11
"1583",45089,2014,13
"1584",45089,2015,15
"1585",45089,2016,9
"1586",45089,2017,8
"1587",45089,2018,6
"1588",45089,2019,7
"1589",45089,2020,19
"1610",45091,2005,29
"1611",45091,2006,21
"1612",45091,2007,23
"1613",45091,2008,28
"1614",45091,2009,31
"1615",45091,2010,26
"1616",45091,2011,27
"1617",45091,2012,24
"1618",45091,2013,18
"1619",45091,2014,29
"1620",45091,2015,22
"1621",45091,2016,22
"1622",45091,2017,33
"1623",45091,2018,22
"1624",45091,2019,35
"1625",45091,2020,43
